user_input,negative_self_talk,negative_self_talk_score
I feel like I’m always left out of plans,1,0.9664807319641113
I’m so tired of my thoughts,1,0.9757481813430786
I feel like I’m not enough for my family,1,0.9786509275436401
I’m scared of growing up,1,0.9740050435066223
I feel like I’m too emotional,1,0.7931991815567017
I’m stressed about my outfit,1,0.9433128237724304
I laughed with my friends today,0,0.899770200252533
I got a good grade on my test,0,0.711476743221283
I had fun at the mall,0,0.5752883553504944
My friend told me a funny story,0,0.9362678527832031
I’m excited for the school dance,0,0.7295042276382446
I nailed my soccer goal,0,0.884387731552124
My crush smiled at me,0,0.9439417123794556
I had a good day today,0,0.8560425639152527
I’m hyped for the new song drop,0,0.811712920665741
My teacher said I did well,0,0.8277052640914917
I hung out with my cousin,0,0.5791501998901367
I’m excited for movie night,0,0.6503910422325134
My dog was so cute today,0,0.5635583400726318
I got new headphones,0,0.5374562740325928
I’m feeling okay today,0,0.8055046200752258
My friend made me smile,0,0.9808334112167358
I’m good at drawing today,0,0.68578040599823
I had a chill day,1,0.7144979238510132
My mom made my favorite food,0,0.898184597492218
I’m excited for the field trip,0,0.7664983868598938
I got a compliment today,0,0.9941294193267822
My friend’s throwing a sleepover,0,0.6218257546424866
I’m good at this game,0,0.8185619115829468
I had a fun group chat today,0,0.8512463569641113
I’m excited for summer camp,0,0.5542530417442322
My sibling was nice to me,0,0.9349737167358398
I got a cool new phone case,0,0.5569741725921631
I’m feeling hopeful today,0,0.9741550087928772
My friends made me laugh,0,0.8974658846855164
I’m excited for my new book,0,0.7250784635543823
I had a good talk with my dad,0,0.8842005133628845
I’m good at singing today,0,0.8503611087799072
My friend shared their playlist,0,0.7583112120628357
I’m excited for the party,0,0.9302297234535217
I got a high-five today,0,0.864854097366333
My teacher was nice today,0,0.6843073964118958
I’m hyped for the game tonight,0,0.8761715292930603
I had fun in art class,0,0.8432984948158264
I’m excited for my birthday,0,0.8512066006660461
My friend texted me first,0,0.5993666648864746
I’m good at this quiz,0,0.8288449645042419
My mom said she’s proud,0,0.9690365791320801
I’m excited for the concert,0,0.8501769304275513
I had a good hair day,0,0.7662012577056885
I’m feeling pretty okay,0,0.8299248218536377
My friend gave me a hug,0,0.9059982895851135
I’m excited for the weekend,0,0.7949245572090149
I got picked for the team,0,0.6802012920379639
My dad laughed at my joke,0,0.8801448345184326
I’m good at this project,0,0.7043335437774658
My friend said I’m funny,0,0.8684103488922119
I’m excited for the new show,0,0.763081967830658
I had fun at lunch today,0,0.6726604104042053
I’m feeling kinda good,0,0.9564182162284851
My friend invited me over,0,0.8224380612373352
I’m excited for the trip,0,0.9203139543533325
I got a cool sticker,0,0.7704735994338989
My teacher gave me a smile,0,0.9862940907478333
I’m good at this puzzle,0,0.7756344676017761
My friend gave me a note,0,0.6427058577537537
I’m excited for the zoo trip,0,0.6762918829917908
I had a good laugh today,0,0.8850598931312561
I’m feeling chill today,1,0.5233621597290039
My friend said I’m awesome,0,0.9101588129997253
I’m excited for the carnival,0,0.7335143685340881
I got a cool new hat,1,0.5183797478675842
My teacher said nice job,0,0.9448315501213074
I’m good at this challenge,0,0.8423321843147278
My friend sent a playlist,0,0.8540205955505371
I’m excited for the party,0,0.9302297234535217
I had fun at the arcade,0,0.5881849527359009
I’m feeling okay today,0,0.8055046200752258
My friend shared a meme,0,0.7493603825569153
I’m excited for the school club,0,0.638808012008667
I got a cool keychain,0,0.6374212503433228
My teacher said I’m improving,0,0.7516387701034546
I’m good at this book,0,0.6495629549026489
My friend made me a doodle,0,0.8391578793525696
I’m excited for the dance,0,0.8971760272979736
I had fun in history class,0,0.635188639163971
I’m feeling good today,0,0.9575145244598389
My friend said I’m cool,0,0.7669022083282471
I’m excited for the picnic,0,0.7570645809173584
I got a cool pin,0,0.720667839050293
My teacher gave me a nod,0,0.6789141297340393
I’m good at this art,0,0.8597696423530579
My friend shared a story,0,0.8327386975288391
I’m excited for the fair,0,0.778619647026062
I had fun in math class,0,0.5738634467124939
I’m feeling chill today,1,0.5233621597290039
My friend said I’m lit,1,0.6739487051963806
I’m excited for the concert,0,0.8501769304275513
I got a cool bracelet,0,0.6740044355392456
My teacher said keep it up,0,0.641948938369751
I’m good at this game,0,0.8185619115829468
My friend gave me a smile,0,0.9893954992294312
I’m excited for the trip,0,0.9203139543533325
I had fun in art class,0,0.8432984948158264
I’m feeling good today,0,0.9575145244598389
My friend sent a funny meme,0,0.9198205471038818
I’m excited for the show,0,0.8592973947525024
I got a cool notebook,0,0.7289446592330933
