TEXT (BAHASA),TEXT (ENGLISH),DATA STATUS,FIRST ANNOTATOR,SECOND ANNOTATOR
"Suatu peristiwa dalam hidup saya terkait dengan pengkodingan robot. Ketika saya pertama kali mencoba mengembangkan program untuk mengendalikan robot, saya sangat berambisi untuk membuatnya sempurna. Saya mengharapkan agar robot tersebut dapat melakukan semua tugas yang saya rencanakan dengan sempurna, tanpa cacat sama sekali.

Namun, saat saya mulai menghadapi kenyataan dalam proses pengembangan, saya sering kali merasa frustasi jika robot tidak dapat melakukan sesuatu dengan sempurna. Saya cenderung melihatnya sebagai ""kegagalan"" daripada melihatnya sebagai bagian dari proses pembelajaran dan perbaikan. Saya merasa sangat tertekan ketika robot gagal menjalankan beberapa perintah, dan ini membuat saya merasa sangat kecewa.

Dalam beberapa kesempatan, $saya bahkan berpikir untuk menghentikan proyek robot tersebut sepenuhnya jika robot tidak bisa berfungsi secara sempurna.$","An event in my life was related to robot coding. When I first tried to develop a program to control a robot, I was very ambitious about making it perfect. I hope that the robot can carry out all the tasks I have planned perfectly, without any defects at all.

However, when I started to face the reality of the development process, I often felt frustrated when the robot couldn't do something perfectly. I tend to see it as a “failure” rather than seeing it as part of a learning and improvement process. I felt very stressed when the robot failed to carry out some commands, and this made me feel very disappointed.

On several occasions, $I even thought about stopping the robot project completely if the robot could not function perfectly.$",RAW-ORI,All-or-nothing,All-or-nothing
Saya pernah dalam kondisi dimana $jika saya melihat orang yang tidak beragama sebagai seseorang yang tidak percaya tuhan$,I was once in a condition where if I saw a non-religious person as someone who didn't believe in God,RAW-ORI,All-or-nothing,All-or-nothing
"Saat SMP-SMA, saya selalu merasa bahwa nilai adalah segalanya, saya merasa gelisah dan merasa gagal jika nilai yang saya dapatkan tidak memuaskan atau tidak mendapat peringkat tertinggi. Walaupun saya tahu saya telah berusaha semaksimal mungkin, $saya tetap akan merasa gagal jika tidak mendapatkan hasil sesuai standar saya$","When I was in junior high school, I always felt that grades were everything, I felt anxious and felt like a failure if the grades I got were not satisfactory or I didn't get the highest ranking. Even though I know I have tried my best, I will still feel like a failure if I don't get results that meet my standards",RAW-ORI,All-or-nothing,All-or-nothing
"Saya hanya mau berteman dengan semua orang, $jika ada yang menunjukan niat lain selain berteman saya memilih untuk tidak berteman dengannya.$","I just want to be friends with everyone, $if anyone shows intentions other than being friends I choose not to be friends with him.$",RAW-ORI,All-or-nothing,All-or-nothing
Menganggap $nilai dan prestasi adalah segalanya dalam menuju kesuksesan$,Assuming that values ​​and achievements are everything towards success,RAW-ORI,All-or-nothing,All-or-nothing
"$jika teman saya diam saja ketika ada yang terlibat dalam perundungan, maka dia juga seorang bully.$","$if my friend keeps quiet when someone is involved in bullying, then he is also a bully.$",RAW-ORI,All-or-nothing,All-or-nothing
"Ketika saya mengikuti lomba, tetapi karena $saya hanya juara 3 saya merasa kalah, seharusnya bisa memdapatkan juara 1. Dan saya merasa itu kegagalan$","When I took part in a competition, but because I only won 3rd place, I felt like I had lost, I should have gotten 1st place. And I felt that was a failure.",RAW-ORI,All-or-nothing,All-or-nothing
"Waktu saya kalah perlombaan, hanya ada 2 kemungkinan kalah atau menang, $walaupun saya juara 2,itu terlihat seperti kekalahan bagi saya.$","When I lost a race, there were only 2 possibilities of losing or winning, $ even though I was in 2nd place, it looked like a loss to me.",RAW-ORI,All-or-nothing,All-or-nothing
"Peristiwa ketika saya melihat sesuatu secara hitam-putih adalah ketika mengikuti ujian masuk universitas. Saat mendapat nilai dana mendapat hasil ujian tersebut saya gagal masuk ke universitas ini. Universitas tersebut merupakan universitas ternama dengan akreditasi sangat baik pada prodi yang saya inginkan. Karena ini, $saya merasa bahwa saya gagal sepenuhnya karena tidak masuk ke universitas impian saya.$","The occasion when I saw things in black and white was when taking the university entrance exam. When I got the grades and got the exam results, I failed to enter this university. This university is a well-known university with very good accreditation for the study program I want. Because of this, $I feel that I failed completely by not getting into my dream university.$",RAW-ORI,All-or-nothing,All-or-nothing
"Saya hanya ingin berhubungan dengan orang yang sesuai dengan standar dan pemikiran saya. $Jika ada salah satu hal saja yang tidak sesuai standar saya, maka saya tidak mau berhubungan dengannya sama sekali.$","I only want to be in relationships with people who match my standards and thoughts. $If there is even one thing that is not up to my standards, then I want nothing to do with it at all.$",RAW-ORI,All-or-nothing,All-or-nothing
"Pada masa seleksi masuk perguruan tinggi dulu, saya berpikiran bahwa $apabila saya gagal untuk lolos di salah satu pilihan SBMPTN saya, maka saya tidak akan pernah masuk kuliah.$","During the college entrance selection period, I thought that if I failed to pass one of my SBMPTN choices, then I would never go to college.",RAW-ORI,All-or-nothing,All-or-nothing
"Dulu saya hanya ingin melanjutkan studi saya di Fasilkom UI. Saya mengalami breakdown karena setelah 3x seleksi (SNBP, SNBT, Mandiri) tidak diterima oleh PTN impian saya. Karena menganggap $jika tidak UI, maka saya akan mengecewakan orangtua dan tidak mungkin menjadi orang sukses.$","In the past, I just wanted to continue my studies at Fasilkom UI. I experienced a breakdown because after 3 selections (SNBP, SNBT, Mandiri) I was not accepted by my dream PTN. Because I think if I don't have UI, then I will disappoint my parents and it's impossible to become a successful person",RAW-ORI,All-or-nothing,All-or-nothing
"$lebih memilih mengerjakan suatu hal secara maksimal atau tidak mengerjakan sama sekali$, meskipun dengan keterbatasan waktu akan saya kerjakan, tapi jika sudah melalui deadline ataupun tidak ada kejelasan maka tidak akan saya kerjakan","$I prefer to do something optimally or not do it at all$, even if I have limited time, I will do it, but if it has passed the deadline or there is no clarity then I will not do it",RAW-ORI,All-or-nothing,All-or-nothing
"Dulu saya menekan diri untuk menjadi sempurna. $Saat saya melakukan kesalahan, saya kehilangan motivasi dan merasa sekalian saja salah semua.$ Padahal kesempurnaan itu tidak mungkin. Namun, sekarang saya menjadi lebih terbuka dan santai untuk menjalani kehidupan dengan kesalahan agar saya dapat berkembang menjadi yang lebih baik.","I used to put pressure on myself to be perfect. $When I make a mistake, I lose motivation and feel like I'm all wrong.$ Even though perfection is impossible. However, now I am more open and relaxed about living life with mistakes so that I can develop into something better.",RAW-ORI,All-or-nothing,All-or-nothing
"sebagai anak pertama perempuan tentunya pundak saya membawa ekspektasi besar keluar saya, terutama orang tua saya. mulai dari les akademik dan kegiatan pendukung saya jalani selama satu minggu penuh sejak kecil. tuntutan nilai adalah hal yang sangat wajar bagi saya. orang tua saya memiliki kualifikasi bahwa nilai saya harus diatas 90, tapi $bagi saya nilai yang baik adalah diatas 95 atau tidak sama sekali.$ seiring berjalannya waktu saya sadar betapa keras saya memaksa diri. tapi kebahagiaan orang tua saya tidak bisa dibayar oleh apapun. namun seiring saya tumbuh orang tua saya mulai paham bagaimana harus menjadi teman untuk anaknya. terkadang yang terbaik bagi mereka belum tentu terbaik untuk kita","As the first daughter, of course my shoulders carry big expectations for me, especially my parents. starting from academic tutoring and supporting activities, I have done it for a whole week since I was little. value demands are very natural for me. My parents have a qualification that my score must be above 90, but for me a good score is above 95 or nothing at all. As time goes by I realize how hard I push myself. but my parents' happiness cannot be paid for by anything. but as I grew up my parents began to understand how to be a friend to their child. sometimes what's best for them isn't necessarily what's best for us",RAW-ORI,All-or-nothing,All-or-nothing
saya tidak mau bercerita tentang masalah hidup saya ke temen temen kelas terkecualai temen yang bener bener dekat dengan saya,"I don't want to talk about my life problems to my classmates, except those who are really close to me.",RAW-ORI,All-or-nothing,All-or-nothing
"ketika saya mencoba resep baru masakan, jika gagal, saya merasa lebih baik tidak mencobanya","When I try a new recipe, if it fails, I feel it's better not to try it",RAW-ORI,All-or-nothing,All-or-nothing
"ketika ada masalah dengan pacar saya, disaat kami dalam kondisi dimana akan putus, $saya merasa jika kami putus saya akan berhenti sejenak untuk tidak mencari penggantinya$","when there is a problem with my girlfriend, when we are in a condition where we are going to break up, $ I feel that if we break up I will stop for a moment and not look for a replacement $",RAW-ORI,All-or-nothing,All-or-nothing
"$Saya pernah berpikiran bahwa jika saya saat kuliah nanti tidak di universitas negeri, maka saya merasa saya gagal atau tertinggal dari teman-teman saya yang lainnya.$","$I once thought that if I didn't study at a state university, then I would feel like I had failed or was left behind from my other friends.$",RAW-ORI,All-or-nothing,All-or-nothing
"Saya tipikal orang ketika memulai sesuatu harus dengan niat, kemauan, dan alasan yg besar dulu. $Jika dirasa tidak ada maka tidak akan saya lakukan$","I'm a typical person who, when starting something, has to have a big intention, will and reason first. $If I don't think it's there then I won't do it$",RAW-ORI,All-or-nothing,All-or-nothing
"saat saya menjadi ketua dalam suatu event di kampus saya, $saya selalu berpikir kita harus bisa lebih daripada yang lain atau tidak sama sekali$","when I was the chairman of an event on my campus, $I always thought we should be able to do better than others or nothing at all$",RAW-ORI,All-or-nothing,All-or-nothing
jika tidak dapat di universitas negeri saya memutuskan tidak kuliah,If I can't get it at a state university I will decide not to go to college,RAW-ORI,All-or-nothing,All-or-nothing
"Saat penentuan masuk universitas negeri atau swasta, saya bertekad masuk univ negeri. Dan saya melakukan segala cara agar masuk. $Pilihan saya saat itu hanya melakukan yang terbaik dg segala cara atau menunda kuliah.$","When deciding whether to enter a state or private university, I was determined to enter a state university. And I did everything I could to get in. $My choice at that time was just to do my best at all costs or postpone college.$",RAW-ORI,All-or-nothing,All-or-nothing
"Ketika saya mengikuti lomba $apabila tidak juara 1, saya merasa gagal dan putus asa.$","When I take part in a competition, if I don't win 1st place, I feel like a failure and hopeless.$",RAW-ORI,All-or-nothing,All-or-nothing
"saat saya bermain futsal dan kalah,$saya lebih memilih berhenti bermain daripada harus bermain tpi kalah.Bermain tapi kalah adalah buang-buang waktu$","When I play futsal and lose, I would rather stop playing than play and lose. Playing and losing is a waste of time.",RAW-ORI,All-or-nothing,All-or-nothing
"ketika saya dekat dengan seseorang yang beda agama, karna kita tau tidak akan cocok dan terlalu banyak masalah, jadi $saya lebih memilih tidak dekat sama sekali hanya sebatas teman daripada tetap dijalani tapi ujung ujungnya putus karna tau gabakal bisa bersama$","when I'm close to someone of a different religion, because we know we won't get along and there will be too many problems, so I'd rather not be close at all, just as friends, rather than keep going but end up breaking up because I know we won't be able to be together.",RAW-ORI,All-or-nothing,All-or-nothing
"menurut saya dalam hubungan pacaran tidak ada yang namanya break ketika sedang daam hubungan yang tidak baik baik saja $hanya ada pilihan lanjut atau putus$, tidak ada yang namanya break karena menurut saya break itu putus","In my opinion, in a dating relationship there is no such thing as a break when you are in a bad relationship, there is only a choice to continue or break up, there is no such thing as a break because in my opinion a break is a break",RAW-ORI,All-or-nothing,All-or-nothing
"Saya memiliki pengalaman (kasuistis) dimana saya berpikir bahwa $bila saya tidak diberi tanggung jawab lebih pada inti suatu organisasi, maka saya tidak akan mengambil inisiatif sama sekali$, sekali lagi bahwa pengalaman saya ini adalah kasuistis.","I had an experience (casuistry) where I thought that if I were not given more responsibility at the core of an organization, then I would not take any initiative at all, once again my experience was casuistry.",RAW-ORI,All-or-nothing,All-or-nothing
"Saya adalah orang yang sangat pemilih dalam memilih teman, $jika saya tidak ada hal yang harus berhubungan dengan seseorang tersebut, saya sangat enggan berhubungan dengan mereka.$","I am a very picky person in choosing friends, if I don't have anything to do with someone, I am very reluctant to have contact with them.",RAW-ORI,All-or-nothing,All-or-nothing
Perlombaan di mana $saya hanya melihat kemenangan yang memuaskan atau kekalahan yang akan saya sesali seumur hidup$,A race where $I see only satisfying wins or losses that I will regret for the rest of my life$,RAW-ORI,All-or-nothing,All-or-nothing
Saya $hanya mau makan kalau itu makanan yang memang sesuai dengan keinginan dan selera saya selain dari itu saya tidak akan makan sama sekali$,I $ only want to eat if it's food that suits my desires and tastes other than that I won't eat at all $,RAW-ORI,All-or-nothing,All-or-nothing
"pada saat saya belajar suatu bahasa pemrogramanan, saya berfikir bahasa pemrograman yang sedang saya pelajari lumayan sulit untuk di mengerti, saya ingin menyerah dan belajar bahasa lain. tetapi saya mengatakan $""jika kamu tidak bisa bahasa ini, kamu ga akan bisa sukses"".$","When I was learning a programming language, I thought the programming language I was learning was quite difficult to understand, I wanted to give up and learn another language. but I said $""if you don't speak this language, you won't be successful"".$",RAW-ORI,All-or-nothing,All-or-nothing
"$Saya dulu sering berpikir kalau saya yakin tidak bisa menang mengikuti lomba, maka lebih baik saya tidak ikut sama sekali.$","$I used to think that if I was sure I couldn't win in a competition, then it would be better if I didn't take part at all.$",RAW-ORI,All-or-nothing,All-or-nothing
saat masih duduk di kelas 1 sma saya sangat mengagumi Universitas Padjajaran dan $berpikir saya harus masuk di universitas tersebut kalau tidak masuk saya rela tidak kuliah tahun ini dan mengulang di tahun depan$. tapi pada akhirnya saya berusaha realistis dan memilih UNUD sebagai tujuan kuliah saya,"When I was in the first grade of high school, I really admired Padjajaran University and thought I had to enter that university. If I didn't, I was willing to not go to college this year and repeat it next year. But in the end, I tried to be realistic and chose UNUD as my college destination.",RAW-ORI,All-or-nothing,All-or-nothing
Saya merasa $bila tidak menang juara 1 dalam perlombaan walaupun mendapat juara 2 itu merupakan kekalahan$. Ini terjadi ketika saya ikut lomba menggambar dan saya dapat juara. Saya merasa kecewa.,"I feel that if I don't win 1st place in a competition even though I get 2nd place, it's a defeat. This happened when I took part in a drawing competition and I won. I feel disappointed.",RAW-ORI,All-or-nothing,All-or-nothing
Saya hanya mau menjalin hubungan dengan teman saya jika teman mau menjadi pacarnya. $Jika teman saya tidak ingin menjadi pacar saya saya tidak mau berhubungan$,I only want to be in a relationship with my friend if my friend wants to be his girlfriend. $If my friend doesn't want to be my boyfriend I don't want to be in a relationship$,RAW-ORI,All-or-nothing,All-or-nothing
saya pernah berpikir bahwa $saya hanya ingin berteman dengan orang yang memiliki level kepintaran yang sama atau lebih pintar daripada saya. jika tidak maka saya lebih baik tidak berteman.$,I once thought that $I only wanted to be friends with people who had the same level of intelligence or were smarter than me. if not then I'd rather not be friends.$,RAW-ORI,All-or-nothing,All-or-nothing
"Dulu pernah tidak mengikuti suatu kegiatan yang sampai sekarang membuat saya menyesah. Hal ini karena dulu saya berpegang teguh pada suatu pemikiran bahwa dalam $setiap kegiatan saya harus menjadi bintang utamanya, jika bukan saya bintangnya lebih baik tidak mengikuti kegiatan itu.$","I once did not participate in an activity that still makes me regret it. This is because I used to hold on to a thought that in $every activity I had to be the main star, if I wasn't the star it was better not to participate in that activity.$",RAW-ORI,All-or-nothing,All-or-nothing
"Saat masih di bangku SMP, saya cenderung berpikir tentang baik buruknya akademis seseorang dilihat dari perolehan nilai angkanya. Misalnya dulu $saya selalu berasumsi jika nilai saya di bawah 90 maka saya tidak baik dari segi akademis$","When I was in junior high school, I tended to think about the good and bad of someone's academics based on their number scores. For example, in the past, I always assumed that if my score was below 90 then I was not good from an academic perspective",RAW-ORI,All-or-nothing,All-or-nothing
"Ketika saya kerjakelompok $saya beranggapan jika teman-teman tidak mau memukakkan ide terkait tugas yang dikerjakan, saya akan menolak masuk atau bergabung dalam kelompok tersebut$","When I work in a group, I assume that if my friends don't want to put forward ideas related to the task at hand, I will refuse to enter or join the group.",RAW-ORI,All-or-nothing,All-or-nothing
aku sempet berpikiran kalau $aku gak dapet UI artinya aku gagal$,I used to think that if I didn't get UI it meant I failed,RAW-ORI,All-or-nothing,All-or-nothing
"$saat menyukai satu barang, dan cenderung barang tersebut yang saya inginkan, apabila barang tersebut tidak ada, saya tidak akan membeli barang lainnya$ walaupun barang tersebut mirip atau memiliki fungsi yang sama","$when I like one item, and that item tends to be what I want, if that item is not available, I will not buy another item$ even if the item is similar or has the same function",RAW-ORI,All-or-nothing,All-or-nothing
"Saya pernah alami ini, $ketika saya mencoba menilai diri berdasarkan nilai/prestasi dan jika tidak memenuhi, saya merasa gagal$","I've experienced this, when I try to assess myself based on grades/achievements and if I don't meet them, I feel like a failure",RAW-ORI,All-or-nothing,All-or-nothing
"Penngalaman saya yang saya sering alami adalah melihat secara ekstrim. seringkali saya berpikir jika saya mendekatkan teman yang saya anggap bisa diajak bergaul. $jika orang baru saya ketemui tidak sesuai dengan keinginan saya atau tidak cocok dengan saya , saya memutuskan untuk tidak berelasi selamanya dengan orang tersebut$ dan hanya cuman sekedar tau dengan orang tersebut tidak lebih dan tidak mau tau tentang kehidupan mereka","My experience that I often experience is seeing extremes. I often think if I bring friends closer who I think I can hang out with. If a new person I meet doesn't suit my wishes or doesn't suit me, I decide not to have a relationship with that person forever and just get to know that person and don't want to know about their life.",RAW-ORI,All-or-nothing,All-or-nothing
"Saat dalam hubungan, saya merasa hubungan ditentukan dengan mood pasangan, $jika mood jelek, maka hubungan sedang tidak baik2 saja.$","When in a relationship, I feel that the relationship is determined by the mood of the partner, $if the mood is bad, then the relationship is not going well.$",RAW-ORI,All-or-nothing,All-or-nothing
kalau saya lulus saya harus sukses dan dapat pekerjaan yg bagus kalau tdk saya tdk saya sdh gagal,If I graduate I have to be successful and get a good job if I don't I have failed,RAW-ORI,All-or-nothing,All-or-nothing
"Suatu peristiwa dalam hidup saya yang mengingatkan saya pada pemikiran hitam-putih adalah ketika saya menghadapi masuk perguruan tinggi. Saat itu, $saya merasa bahwa jika saya tidak diterima di perguruan tinggi pilihan pertama saya, maka itu akan dianggap sebagai kegagalan total dan hidup saya akan hancur.$","One event in my life that reminds me of black-and-white thinking was when I was facing college admissions. At the time, I felt that if I didn't get into my first choice college, it would be a total failure and my life would be ruined.",RAW-ORI,All-or-nothing,All-or-nothing
Saya ingin sekali berpacaran dengan si A. Tapi sayang si A tidak mau pacaran. Jadi saya memilih untuk tidak memiliki pacar,I really want to date A. But unfortunately A doesn't want to date. So I chose not to have a boyfriend,RAW-ORI,All-or-nothing,All-or-nothing
Saat saya mengerjakan tugas kuliah $saya selalu memikirkan saya mendapat nilai yang tinggi atau kurang$,"When I do college assignments, I always think about whether I got a high or low grade",RAW-ORI,All-or-nothing,All-or-nothing
